Year Purchased,Model,Number,Authority,Request data
2008,Tech Speak 32 (2 levels),1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2008,Big Mack,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2008,Vantage Lite (liberator) ,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2008,Lightwriter SL40,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2009,Servox Artificial Larynx ,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2009,Monacor Voice Amplifier ,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2009,Lightwriter SL40 ,3,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2009,Megabee,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2009,Go Talk 9+,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2009,Springboard Lite (Liberator) ,3,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2009,Express One,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2009,SuperTalker,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2009,iTalk 2,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2009,Gotalk20+,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2010,Servox artificial larynx,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2010,Lightwriter SL 40 ,3,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2010,Go talk 9+ ,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2010,Gotalk4+,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2010,Tobii C12 Ceye ,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2010,VoicePal8K,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2010,Go Talk Pocket ,3,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2010,Super Talker ,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2010,Big Step by step,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2010,Light writer,1,Lanarkshire NHS Board,http://www.whatdotheyknow.com/request/aac_provision_11/new
2009,Light writer ,2,Lanarkshire NHS Board,http://www.whatdotheyknow.com/request/aac_provision_11/new
2009,Vantage lite,1,Lanarkshire NHS Board,http://www.whatdotheyknow.com/request/aac_provision_11/new
2008,Light writer,7,Lanarkshire NHS Board,http://www.whatdotheyknow.com/request/aac_provision_11/new
2007,Light writer,8,Lanarkshire NHS Board,http://www.whatdotheyknow.com/request/aac_provision_11/new
2007,Dynavox,1,Lanarkshire NHS Board,http://www.whatdotheyknow.com/request/aac_provision_11/new
2007,Go Talk Devices,5,Lanarkshire NHS Board,http://www.whatdotheyknow.com/request/aac_provision_11/new
2006,Interact,1,Lanarkshire NHS Board,http://www.whatdotheyknow.com/request/aac_provision_11/new
2005,CHIAYO Radio with headset amplifier ,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2005,Dynamo ,3,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2005, Lightwriter,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2005,SERVOX artificial larynx,7,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2005,Xena Flexital PA Voice amplifier ,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2006,Go Talk 9,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2006,Light writer ,2,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2006,Lions Amplifier,4,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2007,Amplifier WAPP 3 ,2,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2007, Freiburg Amplifier with hand held microphone,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2007,Go Talk,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2007,Grid 2 software,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2007,Kapitex Amplifier hand held & headset microphone,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2007,Lions Amplifier,2,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2007,My Tobii,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2008,Big Mack communicator,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2008, Dynavox VMAX and keyguard,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2008,Lightwriter,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2009,iPod Touch with Proloquo2go,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2009, Liberator 14,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2009,Lightwriter SL40 ,2,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2009,Lions Amplifier ,2,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2009, Springboard Lite ,2,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2009,Tobii C12 with Ceye,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2010,ECO Voice amplifier,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2010,iPod touch and P2G app,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2010,Liberator EC02,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2010,Lightwriter and laptop keyguard,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2010,Lions Amplifier Tobii C12 with keyguard,4,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2010,Tobii C12 with keyguard,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2010,Vantage Lite with head tracker,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,ECO2 with LLL,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,ECO2 with Picture Word Power ,2,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,Freiburg Amplifier with hand held microphone Grid 2 Software,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,Grid Software,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,iPad & case,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,"iPad, case & stylus",1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,"iPad, cover & Speak it! app ",2,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011," iPad, Predictable, switch box & case",1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,"iPad, Predictable & case ",5,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011," iPad, Proloquo2go, case ",2,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011, LightWriter SL40,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,LightWriter SL40 & keyguard,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,"Mini Voice amplifier, throat microphone & head set ",1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,Predicatbale app for iPad,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,Smart Nav4 with Grid2,1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011,Textlink Textphone ,2,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2011," Tobii C15 & Tobii Ceye, stand, phone",1,Greater Glasgow NHS Board,http://www.whatdotheyknow.com/request/aac_provision_8/new
2006,Servox Artificial Larynges,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Ablenet Big Mack,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Dynavox Dynamo,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Ablenet Powerlink,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Falck Spokesman 4,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Amdi Techtalk 32 x 6 levels,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Toby Churchill Lightwriter sl35,5,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Ablenet Jelly bean switch,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Eagle Waistband voice amplifi,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Echovoice voice amplifier,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Falck voice  amplifier,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Ablenet Big Mack,5,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Ablenet Big Red switch,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006, Saltillo Chatbox 16,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,jelly bean switch,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,x Little Step by Step,10,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Powerlink,8,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Amdi TechSpeak 32,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Amdi Techtalk 8,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006,Voice pal,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007,Servox Artificial Larynges,9,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007,Ablenet Big Red Switch,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007,Toby Churchill Lightwriter sl35,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007,Toby Churchill Lightwriter sl87,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007,Ablenet Powerlink,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007,Amdi Techtalk 8 x 6 levels,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007,Amdi Voice pal ,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Ablenet Big Mack,4,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Ablenet Step by Step,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Saltillo Chatbox 16,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Dynavox Might mo,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Ablenet Italk 2,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Ablenet Step by Step,7,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Amdi Partner 4,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Amdi Partner 2,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Ablenet Powerlink,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Supertalker,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Talking Photo Album,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Techspeak 32,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Techtalk 8,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2007, Voice pal,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Echovoice voice amplifier,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Ablenet jelly bean switch,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Toby Churchill Lightwriter sl35,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Toby Churchill Lightwriter sl40,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Ablenet Step by Step,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Pal Pad switch,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Amdi Partner 2,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Ablenet Powerlink,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Ablenet Switch latch timer,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Ablenet Big Mack,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Dynavox Vmax,6,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Dynavox V,4,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Ablenet jelly bean switch,3,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Ablenet Step by Step,6,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Ablenet Powerlink,4,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Slim Armstrong Mount,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2008,Switch Latch timer,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2009,Servox Artificial Larynges,6,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2009,Tash Buddy Button switch,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2009,Byron portable cordless alarm,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2009,Echovoice voice amplifier,3,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2009,Falck voice amplifier,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2009,Eagle waistband amplifier,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2010,Ablenet Big Mack,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2010,Inclusive Click on mains controller,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2010,Ablenet Step by Step,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2010,Ablenet Powerlink,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2010,Liberator Springboard Lite,5,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2010,Ablenet Step by Step,4,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2010,Ablenet Switch latch timer,6,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2010,Ablenet Switches,4,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2010,Pal pad switches,2,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2010,Liberator Sensitrac Pad,1,Lothian NHS Board,http://www.whatdotheyknow.com/request/aac_provision_10/new
2006, Lightwriter SL35,3,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2007, Liberator 14,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2007, Falck voice amplifier,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2008, Palmtop 3,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2009, iPod Touch with Proloq,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2008, Springboard Lite,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2009, Vantage Lite,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2009, Liberator 14,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2009, Grid2 Software,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2009, Servox Inton,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2010, ECO2 with LL,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2010, ECOPOINT Eye Gaze,1,Highland NHS Board,http://www.whatdotheyknow.com/request/aac_provision_9/new
2008,Trutone Electrolarynx Complete Kit ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2008, Xena Midi Amplifier Headset System ,2,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2008, SL35 DEC Talk -Quarty Key board ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2008,Passey-Muir Tracheostomy Speaking Valve ,2,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2008, Passey-Muir Valve Adapter ,2,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2008, Trutone Electrolarynx Complete Kit ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2008, Trutone Electrolarynx Complete Kit ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2008, Servox Digital Complete ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2008, Servox Digital Complete ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2010,Go Talk Pocket ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2009,FALCK Voice Amplifier 1003 with headset,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2009,FALCK Voice Amplifier 1003 with headset,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2009,Defstut Communication Aid ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2009, Headset and Microphone for Falk Amplifier ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2009, Heather the Scottish Voice ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2010,Trutone Electrolarynx Complete Kit ,3,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2010, Servox Digital Complete ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2010,Servox Digital Complete ,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
2011,Trutone Electrolarynx,1,Tayside NHS Board,http://www.whatdotheyknow.com/request/aac_provision_15/new
